Time,RSRP,RSRQ,RSSI,SINR Rx[0],SINR Rx[1],Cycles,Test KPI type,Test KPI best,Test KPI worst,Test KPI avg,Intermediate KPI
2017-11-27 14:11:48.710,-82,-19.1,-11.7,20.1,20.5,2/0,Application thrpt,42612.8,42612.8,42612.8,80101
2017-11-27 14:11:49.205,-80.9,-25.8,-109.3,21.8,22.1,2/0,Application thrpt,42612.8,42612.8,42612.8,80101
2017-11-27 14:11:49.340,-80.9,-25.8,-109.3,21.8,22.1,2/0,Application thrpt,42612.8,42612.8,42612.8,83990
2017-11-27 14:11:50.230,-80.7,-24.7,-106.1,20.9,20.9,2/0,Application thrpt,42612.8,42612.8,42612.8,83990
2017-11-27 14:11:50.710,-78.4,-19.4,-105.1,22.2,22.7,2/0,Application thrpt,42612.8,42612.8,42612.8,83990
2017-11-27 14:11:51.235,-78,-26.5,-99.9,22.3,21.8,2/0,Application thrpt,42612.8,42612.8,42612.8,83990
2017-11-27 14:11:51.255,-78,-26.5,-99.9,22.3,21.8,2/0,Application thrpt,42612.8,42612.8,42612.8,82040
2017-11-27 14:11:51.725,-81.1,-22.5,-108.9,21.1,21.4,2/0,Application thrpt,42612.8,42612.8,42612.8,82040
2017-11-27 14:11:52.235,-78.6,-23.3,-106,22.2,23.2,2/0,Application thrpt,42612.8,42612.8,42612.8,82040
2017-11-27 14:11:52.760,-79.7,-22.2,-105.7,20.8,22,2/0,Application thrpt,42612.8,42612.8,42612.8,82040
2017-11-27 14:11:53.255,-79.7,-22.2,-105.7,20.8,22,2/0,Application thrpt,42612.8,42612.8,42612.8,96826
2017-11-27 14:11:53.265,-80,-23.8,-104.3,19.6,20.5,2/0,Application thrpt,42612.8,42612.8,42612.8,96826
2017-11-27 14:11:53.765,-77.6,-23.9,-98.8,20.3,19.4,2/0,Application thrpt,42612.8,42612.8,42612.8,96826
2017-11-27 14:11:54.270,-79.6,-6.7,-24.8,22.6,20.2,2/0,Application thrpt,42612.8,42612.8,42612.8,96826
2017-11-27 14:11:54.785,-78.9,-23.7,-107.4,22.4,22,2/0,Application thrpt,42612.8,42612.8,42612.8,96826
2017-11-27 14:11:55.260,-78.9,-23.7,-107.4,22.4,22,2/0,Application thrpt,42612.8,42612.8,42612.8,93307
2017-11-27 14:11:55.280,-78.2,-6.7,-100.6,23.7,23.7,2/0,Application thrpt,42612.8,42612.8,42612.8,93307
2017-11-27 14:11:55.795,-78.6,-22.6,-102.2,21.8,22.4,2/0,Application thrpt,42612.8,42612.8,42612.8,93307
2017-11-27 14:11:56.275,-78.2,-24.5,-103.3,22.4,23,2/0,Application thrpt,42612.8,42612.8,42612.8,93307
